smiles,score
CC(C)O,-9.89890801279837
Cc1ccccc1,-9.644819709010566
OCC(O)CO,-9.564353501492297
CC(=O)Nc1ccc(O)cc1,-8.08279240587111
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-7.881726003305476
CCN(CC)CC,-7.812063943686537
CC(=O)Oc1ccccc1C(=O)O,-7.275584085015516
CCO,-7.255932480363376
NC(=O)c1ccccc1,-7.159777194530339
CC(=O)O,-6.9861831196417805
Oc1ccccc1,-6.770529434666719
c1ccccc1,-6.4240531681379025
NCCO,-6.109216245250748
c1ccc2ccccc2c1,-6.041374809586677
c1ccncc1,-5.83690077226031
CC(=O)C,-5.6499392587659045
C1CCCCC1,-5.5411349960896015
CC(C)Cc1ccc(cc1)C(C)C(=O)O,-5.181686197494853
